Brand,Chipset Manufacturer:,Model,VRAM,Description,Boost Clock,Cuda Cores,Shader Clock,Effective Memory Clock,Stream Processors,Direct X,HDMI,Model Number,D-Sub,Display Port,OpenGl,Dvi:,PixelPipelines,Slot Width,Max Resolution:,Cooler,Low Profile,release_date,code_name,manufacturer_tech,bus_interface,vram,core_frequency,vram_frequency,shader_frequency,core_config,purpose,open_gl,thermal_design_power,m_operations_s,g_pixels_s,m_texals_s,m_vertices_,v_ram_bandwidth,v_ram_bus_type,v_ram_bus_width,directx,
EVGA,NVIDIA,GeForce 8400 GS,1024,EVGA 01G-P3-1302-LR GeForce 8400 GS 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,8,1230MHz,,,,,01G-P3-1302-LR,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
XFX,AMD,GeForce 8400 GS,1024,ASUS 8400GS-SL-1GD3-L GeForce 8400 GS 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,,,,,,8400GS-SL-1GD3-L,,,,,,Dual Slot,4096; 2160,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
NVIDIA,NVIDIA,GeForce 8400 GS,512,512 Dell Dimension 4700 5100 5150 8400 9100 9150 9200 E510 E520 E521 Video Card,,,,,,DirectX 10.1,,NV344390,,,,,,,2560 x 1600,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,512,New Jaton NVIDIA GeForce 8400GS 512MB DDR2 Low-Profile PCIE Video Card DVI/HDMI/VGA(SaveMart),,,,,,DirectX 10,1 x HDMI,VIDEO-PX8400GS-EXI,,,,,,,2048 x 1536,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
NVIDIA,NVIDIA,GeForce 8400 GS,1024,EVGA NVIDIA GeForce 8400 GS 1GB GDDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,DirectX 10,,NV808047,,,,,,,1900 x 1200,With Fan,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,512,JATON Video-PX628GS-LP1 GeForce 8400 GS 512MB 64-Bit DDR2 PCI Express x1 Low Profile Ready Video Card,,,,,,,,Video-PX628GS-LP1,2 x D-SUB (1 by via MD9-pin to DB 15 cable),,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,256,JATON Video-PX8400GS-LXi GeForce 8400 GS 256MB DDR2 PCI Express 2.0 x16 Low Profile Ready Video Card,,,,,,DirectX 10,1 x HDMI,Video-PX8400GS-LXi,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,512,JATON Video-PX8400GS-EXi GeForce 8400 GS 512MB 64-Bit DDR2 PCI Express 2.0 x16 Low Profile Ready Video Card,,,,,,DirectX 10,1 x HDMI,Video-PX8400GS-EXi,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
EVGA,NVIDIA,GeForce 8400 GS,512,EVGA 512-P3-1301-KR GeForce 8400 GS 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,1230MHz,,,,,512-P3-1301-KR,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
EVGA,NVIDIA,GeForce 8400 GS,1024,EVGA 01G-P3-1303-KR GeForce 8400 GS 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,1230MHz,,,,,01G-P3-1303-KR,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
EVGA,NVIDIA,GeForce 8400 GS,512,EVGA 512-P3-1300-LR GeForce 8400 GS 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,1200MHz,,,,,512-P3-1300-LR,,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
ASUS,NVIDIA,GeForce 8400 GS,1024,ASUS 8400GS-SL-1GD3-L GeForce 8400 GS 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,,,,DirectX 11.2,,8400GS-SL-1GD3-L,,,,,,,2048; 2560,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,512,JATON Video-PX628-DT GeForce 8400 GS 512MB 64-bit DDR2 PCI Express 2.0 x16,,8,8,,,DirectX 10,,Video-PX628-DT,2 x D-SUB,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
Jaton Corporation,NVIDIA,GeForce 8400 GS,512,JATON Video-PX628-TWIN GeForce 8400 GS 512MB 64-Bit DDR2 PCI Express 2.0 x16 Low Profile Ready Video Card,,8,8,,,DirectX 10,,Video-PX628-TWIN,2 x D-SUB,,,,,,,,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
NVIDIA,NVIDIA,GeForce 8400 GS,1024,Inno3D nVidia GeForce 8400GS 1GB DDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,,,NV808023,,,,,,,,With Fan,,4/1/09,GT218,40,PCIe 2.0 x16,512,520,600,1230,,desktop,3.3,25,,2.08,2.08,,4.8,DDR3,32,10.1,
NVIDIA,,GeForce 8400 GS,512,EVGA 512 P3 1301 KR GeForce 8400GS 512MB DDR3 32bit PCIE 2 0 Video Card 7B4A,,,9,,,,,9SIA3SD2SS8184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI,NVIDIA,GT 610,1024,MSI N610GT-MD1GD3/LP GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,48,,,,DirectX 11,,N610GT-MD1GD3/LP,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
ZOTAC,NVIDIA,GT 610,2048,New ZOTAC Video Graphics Card NVIDIA GeForce GT 610 Synergy 2 GB DDR3 VGA/DVI/HDMI PCI-Express 2GB(SaveMart),,,,1200MHz (4.8Gbps),48 Stream Processors,,,JMITW03,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
PNY Technologies Inc.,NVIDIA,GT 610,1024,PNY VCGGT610XPB GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,48,,5000MHz,,,,VCGGT610XPB,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
GIGABYTE,NVIDIA,GT 610,1024,GIGABYTE GV-N610-1GI GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,48,,5000MHz,,,,GV-N610-1GI,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
MSI,NVIDIA,GT 610,2048,MSI N610GT-MD2GD3/LP GeForce GT 610 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,48,,5000MHz,,,,N610GT-MD2GD3/LP,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
ZOTAC,NVIDIA,GT 610,1024,New ZOTAC Video Card NVIDIA GeForce GT 610 Synergy Edition 1 GB GDDR3 DVI/HDMI/VGA Low Profile PCI-Express 1GB(SaveMart),,48,,5000MHz,,,,JMIJS06,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
EVGA,NVIDIA,GT 610,1024,EVGA 01G-P3-2616-KR GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,48,1620MHz,,,,,01G-P3-2616-KR,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
GIGABYTE,NVIDIA,GT 610,2048,GIGABYTE GV-N610D3-2GI GeForce GT 610 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,48,1620MHz,,,,,GV-N610D3-2GI,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
