manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
APEVIA CORP.,,,1,,1,,,,APEVIA X-PLORER2 Series X-PLORER2-PK Black/Pink Steel ATX Mid Tower Computer Case,No,,,,,,Yes,,,X-PLORER2-PK,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,,APEVIA X-PLORER2 Series X-PLORER2-BK Black Steel ATX Mid Tower Computer Case,No,,,,,,Yes,,,X-PLORER2-BK,,4,,,Bottom,,,,,,,,,,
APEVIA CORP.,,,1,,1,,,Silver,APEVIA X-PLORER2 Series X-PLORER2-AL Black/Silver Steel ATX Mid Tower Computer Case,No,,,,,,Yes,,,X-PLORER2-AL,,4,,,Bottom,,,,,,,,,,
Enermax,,,1,,,,,,ENERMAX ECA3212-BL Black ATX Mid Tower Computer Case,,,,,,,,,USB 2.0 x 2 HD/AC'97 Audio,ECA3212-BL,1,4,,,,,,,,,,,,,
NZXT,,,1,,1,1,,,NZXT SWITCH 810 White CA-SW810-W1 Steel / Plastic ATX HYBRID Full Tower Gaming Computer Case,No,,,,,,Yes,,,CA-SW810-W1,,4,,,Bottom,,Full Tower,,,,,,,,
Corsair,,,1,,1,,1,,Corsair Obsidian Series 650D (CC650DW-1) Black Aluminum / Steel ATX Mid Tower Case,No,,,,,,Yes,,,650D (CC650DW-1),,4,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Viper ATX-321WR Red Steel / Plastic ATX Mid Tower Computer Case,No,Bottom,,,,,,,,ATX-321WR,,4,1,,,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Super Hurricane ATX-248NWB Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,ATX-248NWB,,4,,,Bottom,,,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX Blade ATX-298WU Black/Blue Steel / Plastic ATX Mid Tower Computer Case,No,Bottom,,,,,,,,ATX-298WU,,4,1,,,,,,,,,,,,
Raidmax,,,1,,1,1,,Black/Red,RAIDMAX Blade ATX-298WR Black/Red Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,ATX-298WR,,4,,,Bottom,,,,,,,,,,
Lian-Li,,,1,,,,1,,Lian Li PC-V2130WX Brushed Aluminum ATX Full Tower (Black),,,,,,,Yes,,USB3.0 x 4 HD Audio,PC-V2130WX,"3.5"" HDD with hdd tray x8 2.5"" HDD x4 plus 3.5"" HDD x3 or 2.5"" HDD x3",4,,,,,Full Tower,,,,,,,,
APEVIA CORP.,,1,,,,,1,Silver,APEVIA X-QPACK-AL/420 Black/Silver Aluminum MicroATX Desktop Computer Case 420W Power Supply,Yes,,,,,,Acrylic window panel (3 sides),,,X-QPACK-AL/420,,2,,,Top,,,,,,,,,,
TOPOWER,,,1,,,,,,TOPOWER TP-2001BB-550 Black ATX Mid Tower with 550W Power Supply,Yes,,,,,,No,,,TP-2001BB-550,,"External 5.25"" Drive Bays: 1 Internal 5.25"" Drive Bays: 2",,,Top,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master Force 500 - Mid Tower Computer Case with USB 3.0 and Included 500W Power Supply,Yes,,,,,,No,1 x USB 3.0 / 2 x USB 2....,,FOR-500-KKR500,,2,,,Top,,,,,,,,,,
Rosewill,,,1,,1,,,,Rosewill BLACKHAWK-BE - Black SECC Steel ATX Mid Tower Computer Case - Blizzcon Edition,No,,,,,,Yes,2 x USB 3.0 (20-Pin Inte...,,BLACKHAWK-BE,,3 (4),,,Bottom,,,,,,,,,,
DEEPCOOL,,,,,,1,,,DEEPCOOL TESSERACT WH Mid Tower Computer Case SPCC+PLASTIC,No,,,,,,,1*USB 3.0 + 1*USB 2.0 Po...,,TESSERACT WH,4 (all tool-free installation),2 (all tool-free installation),,"3 (Switchable from 3.5"")",,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Core X2 Black Micro ATX Stackable Tt LCS Certified Cube Chassis CA-1D7-00C1WN-00,,,,Yes,,,,2 x USB 3.0,,CA-1D7-00C1WN-00,,,,,,,,,,,,,,,
Thermaltake,,,1,,,1,,Green,Thermaltake Level 10 GT BATTLE EDITION VN10008W2N Green and Black SECC / Plastic ATX Full Tower Computer Case,No,,,,,,No,,,VN10008W2N,,4,,,Bottom,,Full Tower,,,,,,,,
Thermaltake,,,1,,1,1,,,Thermaltake Chaser Series A41 VP200A1W2N Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,VP200A1W2N,,4,,,Bottom,,,,,,,,,,
Zalman Tech Co. Ltd,,,1,,,,,,ZALMAN Z3 Plus White ATX Mid-Tower PC Case Optimum Multi-Fan system cooling Wide band front mesh ventilation Acrylic side panel multiple dust filters VF multi-guide for VGA support USB 3.0 - Ret,No,,,,,,Yes,,,Z3 Plus White,,2,,,Bottom,,,,,,,,,,
Zalman Tech Co. Ltd,,,1,,,,,,ZALMAN Z3 Plus ATX Mid-Tower PC Case Optimum Multi-Fan system cooling Wide band front mesh ventilation Acrylic side panel multiple dust filters VF multi-guide for VGA support USB 3.0,No,,,,,,Yes,,,Z3 Plus,,2,,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,,,,,BitFenix Comrade BFC-COM-100-WWXS1-RP White ATX Computer Case,,,,,,,,,,BFC-COM-100-WWXS1-RP,3,3,,3,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,,,,,BitFenix Comrade BFC-COM-100-KKXS1-RP Black ATX Computer Case,No,,,,,,No,,,BFC-COM-100-KKXS1-RP,,3,,,Bottom,,,,,,,,,,
Corsair,,,1,,,,,,Corsair Carbide Series 400R Graphite grey and black ATX Mid Tower Gaming Case,No,,,,,,No,,,400R,,4,,,Bottom,,,,,,,,,,
In Win,,,1,,1,,,,IN WIN EC046.CQ450TB3K 0.6mm SECC Steel ATX Mid Tower Computer Case ATX 12V PSII Size Power Supply,Yes,,,,,,,0.6mm SECC Steel,,EC046.CQ450TB3K,4,3,,2,,,,,,,,,,,
Rosewill,,,1,,1,,,Silver,Rosewill Computer Case - R379-M - Micro ATX - Slim 0.8mm SGCC Steel - ATX12V Flex 300W PSU Black & Silver,Yes,,,,,,No,2 x USB 2.0,,R379-M,,1,1,,,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill Micro ATX Computer Case - R363-M-BK - Ultra High Gloss Finish Black 400W ATX 2.2 12V PSU,Yes,,,,,,No,2 x USB 2.0,,R363-M-BK,,2,,,Top,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill Computer Case  - R519-BK - ATX Mid Tower - Black - 500W PSU,Yes,,,,,,No,2 x USB 2.0,,R519-BK,,3,,,Top,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Urban S41 VP600M1N2N Black SECC ATX Mid Tower Chassis,,,,,,,No,,,VP600M1N2N,,4,"(Converted from one 5.25"" drive bay)",,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Armor Reve Gene VO800M6W2N Black / White SECC ATX Mid Tower Computer Case,No,,,,,,Yes,,,VO800M6W2N,,4,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,1,1,,White,Thermaltake Level 10 GTS Snow Edition VO30006W2N White Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,VO30006W2N,,4,,,Bottom,,,,,,,,,,
Rosewill,,,1,,,,1,,Rosewill Computer Case - Legacy U3-B - Mini Tower Micro ATX Aluminum Alloy Black,No,,,,,,No,,2 x USB 3.0 Ports Audio In/Out,Legacy U3-B,2,,,,,,,,,,,,,,
Rosewill,,,1,,,,1,Silver,Rosewill Computer Case - Legacy U3-S - Mini Tower Micro ATX Aluminum Alloy Silver,No,,,,,,No,,2 x USB 3.0 Ports Audio In/Out,Legacy U3-S,2,,,,,,,,,,,,,,
Silverstone,,,1,,1,1,,,SilverStone  KL06B  Black  Steel / Plastic  Computer CaseOptional standard PS2(ATX)  Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fro...,,KL06B,1,2,,,,,,,,,,,,,
Silverstone,,,1,,1,1,,,SilverStone SG13B-Q Black Plastic front panel steel body Computer Case Optional standard PS2(ATX) Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,SG13B-Q,"3.5"" x 1 or 2.5"" x 2",,,1,,,,,,,,,,,
Silverstone,,,1,,1,,,,SilverStone SG13B Black Mesh front panel steel body Computer Case Optional standard PS2(ATX) Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,SG13B,"3.5"" x 1 or 2.5"" x 2",,,1,,,,,,,,,,,
Silverstone,,,1,,1,1,,,SilverStone PS11B-Q Steel / Plastic Computer Case Optional Standard PS2(ATX) Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,PS11B-Q,3,2,,,,,,,,,,,,,
Silverstone,,,1,,1,,,,SilverStone KL05B-W Steel Computer Case Optional Standard PS2(ATX) Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,KL05B-W,6,2,,,,,,,,,,,,,
Silverstone,,,1,,1,,1,,SilverStone SG11B Black Aluminum / Steel Computer Case Optional standard PS2(ATX) Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,SG11B,3,1,,,,,,,,,,,,,
Silverstone,,,1,,1,,,,SilverStone PS11B-W Steel Computer Case Optional Standard PS2(ATX) Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,PS11B-W,3,2,,,,,,,,,,,,,
Rosewill,,,,,,,,,Rosewill Desktop Computer Case - RS-MI-01 BK - Mini ITX Tower - 2 x SATA & 1 x 20 + 4-Pin - 250W Power Supply,Yes,,,,,,No,2 x USB 2.0,,RS-MI-01 BK,,1,,,Top,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,,BitFenix  BFC-PRM-300-RRWKK-RP  Red  Steel / Plastic  Computer CasePS2 ATX (bottom multi direction)  Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PRM-300-RRWKK-RP,x 4 (x3 with ODD installed),"x 1 (removable.""if install an ODDcan not install an HDD on the top position of the HDD rail"")",,,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,Green,BitFenix  BFC-PRM-300-GGWKK-RP  Green  Steel / Plastic  Computer CasePS2 ATX (bottom multi direction)  Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PRM-300-GGWKK-RP,x 4 (x3 with ODD installed),"x 1 (removable.""if install an ODDcan not install an HDD on the top position of the HDD rail"")",,,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,Black/Orange,BitFenix  BFC-PRM-300-OOWKK-RP  Orange  Steel / Plastic  Computer CasePS2 ATX (bottom multi direction)  Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PRM-300-OOWKK-RP,x 4 (x3 with ODD installed),"x 1 (removable.""if install an ODDcan not install an HDD on the top position of the HDD rail"")",,,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,,BitFenix  BFC-PRM-300-BBWKK-RP  Blue  Steel / Plastic  Computer CasePS2 ATX (bottom multi direction)  Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PRM-300-BBWKK-RP,x 4 (x3 with ODD installed),"x 1 (removable.""if install an ODDcan not install an HDD on the top position of the HDD rail"")",,,,,,,,,,,,,
Thermaltake,,,1,,1,1,,,Thermaltake Level 10 GTS VO30001W2N Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,VO30001W2N,,4,,,Bottom,,,,,,,,,,
Thermaltake,,,,,,,,,Thermaltake Soprano Snow Edition System Cabinet,No,,,,,,No,,,VO900M6N2N,,4,,,Bottom,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Armor Reve Gene VO800M1W2N Black SECC ATX Mid Tower Computer Case,No,,,,,,Yes,,,VO800M1W2N,,4,,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,,,BitFenix  BFC-NEO-100-KKWSK-RP  Black  Steel / Plastic  Computer CasePS2 ATX (bottom multi direction)  Power Supply,No,,,,,,Yes,1 x USB 3.0 / 1 x USB 2....,,BFC-NEO-100-KKWSK-RP,3,2,,,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix BFC-PAN-300-KSXL1-RP Black Aluminum Steel Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KSXL1-RP,2,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix BFC-PAN-300-KSWN1-RP Black Aluminum Steel Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KSWN1-RP,2,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix BFC-PAN-300-KSXN1-RP Black Aluminum Steel Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KSXN1-RP,2,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix Padora Core Series BFC-PAN-300-KKXN1-RP Black Aluminum Steel Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KKXN1-RP,2,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix Pandora Series BFC-PAN-300-KKXL1-RP Black Aluminum / Steel / Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KKXL1-RP,2,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,,,1,,1,1,1,,BitFenix BFC-PAN-300-KKWN1-RP Black Aluminum Steel Plastic Computer Case PS2 ATX up to 180mm in length Power Supply,No,,,,,,Yes,2 x USB 3.0 / Audio Fron...,,BFC-PAN-300-KKWN1-RP,2,,,3,,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill Stealth ATX Mid Game Case HDD Dock Fan Control 5 Fan,No,,,,,,Yes,,,Stealth,,3(2),,,Bottom,,,,,,,,,,
Rosewill,,,,,,,1,,Rosewill Tower Computer Case - Legacy U2-B - Mini ITX Aluminum Alloy Black,No,,,,,,No,,,Legacy U2-B,2,,,,Top,,,,,,,,,,
Rosewill,,,,,,,1,Silver,Rosewill Legacy U2-S - Silver Aluminum Alloy Mini ITX Tower Computer Case - Side Window Panel,No,,,,,,Yes,,,Legacy U2-S-Window,2,,,1,,,,,,,,,,,
Thermaltake,,,1,,,,,,Thermaltake Level 10 Series Level 10 GTS Black SECC ATX Mid Tower Computer Case,No,,,,,,No,,,VO30001N2N,,4,,,Bottom,,,,,,,,,,
Cooler Master,,,,,,,,,Cooler Master Silencio 652S - Silent Mid Tower Computer Case with Sound Dampening Panels Three Silencio FP 120 Fans and Multiple Removable Air Filters,,,,,,,,,USB 3.0 x 2 USB 2.0 x 2 Audio x 1 (supports AC97 / HD Audio) Mic x 1 SD card reader (Class 10),SIL-652-KKN2,9 (hidden; 7 in the HDD/SSD combo cage 1 at the bottom 1 in the ODD cage by adapter),3 (exposed),,10 (hidden; 7 in the HDD/SSD combo cage 1 under the ODD cage 1 behind the M/B tray 1 at the bottom),,,,,,,,,,,
APEVIA CORP.,,1,,,,1,1,,APEVIA X-QPACK-NW-BK/420 Black Aluminum 1.0 w/ ABS plastic front panel MicroATX Desktop Computer Case 420W Power Supply,Yes,,,,,,No,,,X-QPACK-NW-BK/420,,2,,,Top,,,,,,,,,,
Cooler Master,,,1,,,,,,Cooler Master Silencio 352 - Silent Micro ATX Computer Case with two fans Sound Dampening Panels and Multiple Removable Air Filters,,,,,,,,,USB 3.0 x 2 USB 2.0 x 1 Audio In & Out SD card reader,SIL-352M-KKN1,3 (1 exposed 2 hidden),1 (The max. length of ODD: 170mm / 6.7 inch),,4 (hidden),,,,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-B16B Black Aluminum ATX Full Tower Computer Case,No,,,,,,No,,,PC-B16B,"3.5"" HDD or 2.5"" HDD x 6",4,,,,,Full Tower,,,,,,,,
Raidmax,,,1,,1,1,,,RAIDMAX BLADE (ATX-298WB) Black Steel / Plastic ATX Mid Tower Computer Case,No,,,,,,Yes,,,ATX-298WB,,4,,,Bottom,,,,,,,,,,
NZXT,,,1,,1,1,,,NZXT Phantom PHAN-003RD Red White Finish w/Red Trim Steel / Plastic Enthusiast ATX Full Tower Computer Case,No,,,,,,No,,,PHAN-003RD,,5,,,Bottom,,Full Tower,,,,,,,,
NZXT,,,1,,1,1,,,NZXT Phantom PHAN-001RD Red Steel / Plastic ATX Full Tower Computer Case,No,,,,,,No,,,PHAN-001RD,,5,,,Bottom,,Full Tower,,,,,,,,
GIGABYTE,,,1,,,,,,GIGABYTE GZ-X7 Black ABS / 0.6 mm SECC ATX Mid Tower Computer Case,No,,,,,,No,2 x USB 2.0 / 1 x HD Aud...,,GZ-X7,,4,,,Top,,,,,,,,,,
Compucase,,1,,,1,,,,HEC 6K28BB8F Black 0.8mm SECC Steel MicroATX Mini Tower Computer Case,No,,,,,,No,2 x USB 2.0 / Audio Fron...,,6K28BB8F,,2,,,Top,,,,,,,,,,
Compucase,,1,,,,,,,HEC 6T Series 6T18BB Black 0.6mm SECC MicroATX Mini Tower Computer Case,No,,,,,,No,2 x USB 2.0 1 x eSATA ...,,6T18BB,,2,,,Top,,,,,,,,,,
Corsair,,,1,,1,1,,,Corsair Carbide Series 500R Black Steel structure with molded ABS plastic accent pieces ATX Mid Tower Computer Case,ATX (not included),,,,,,No,2 x USB 3.0 / Audio / 1 ...,,500R,,4,,,Bottom,,,,,,,,,,
Corsair,,,1,,1,,1,,Corsair Obsidian Series 550D Black Aluminum / Steel ATX Mid Tower Computer Case,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,550D,,4,,,Bottom,,,,,,,,,,
Silverstone,,1,,,,1,,,SilverStone PS08B Black High-strength plastic and meshed front panel MicroATX Mid Tower Computer Case,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,PS08B,,2,,,Top,,,,,,,,,,
Fractal Design,,,1,,,,,,Fractal Design Define R4 Arctic White Silent ATX Mid Tower Case,No,Bottom,,,,,,2 x USB 3.0 2 x USB 2.0...,,FD-CA-DEF-R4-WH,,2,1,,,,,,,,,,,,
Fractal Design,,,1,,1,,,,Fractal Design Core 3000 FD-CA-CORE-3000-USB3-BL Black Steel ATX Mid Tower Computer Case,No,,,,,,No,2 x USB 3.0 2 x USB 2.0...,,FD-CA-CORE-3000-USB3-BL,,2 (with one 5.25 > 3.5 inch converter included),"1 (when converted from one 5.25"" drive bay)",,,,,,,,,,,,
Fractal Design,,,1,,,,,,Fractal Design Define R4 Black Pearl w/ USB 3.0 ATX Mid Tower Silent PC Computer Case,No,,,,,,No,2 x USB 3.0 2 x USB 2.0...,,FD-CA-DEF-R4-BL,,2,,,Bottom,,,,,,,,,,
Fractal Design,,,1,,,,,,Fractal Design Define R4 with Window Titanium Grey Silent ATX Mid Tower Case,No,,,,,,Yes,2 x USB 3.0 2 x USB 2.0...,,FD-CA-DEF-R4-TI-W,,2,,,Bottom,,,,,,,,,,
APEX (SUPERCASE/ALLIED),,,1,,1,,,,APEX TX-381-C Black Steel Micro ATX Tower Computer Case,No,,,,,,No,2 x USB2.0 Port ; 2 x Au...,,TX-381-C,,2,,,Top,,,,,,,,,,
NZXT,,,1,,1,1,,Black/Orange,NZXT Phantom PHAN-002OR Newegg Exclusive Black Finish w/Orange Trim Steel / Plastic Enthusiast ATX Full Tower Computer Case,No,,,,,,No,,,PHAN-002OR,,5,,,Bottom,,Full Tower,,,,,,,,
Phanteks Company,,,1,,1,,1,Black/Orange,Phanteks PH-ES813P_SOR Black/Orange Aluminum / Steel ATX Full Tower Computer Case,,,,,,,Yes,,,PH-ES813P_SOR,6 (2x 3 HDD cages),5,,12 (2x 3 HDD cages + 2x double-stack SSD brackets ) *expandable to 3x,,,Full Tower,,,,,,,,
Phanteks Company,,,1,,1,,1,,Phanteks PH-ES813P_WT White Aluminum / Steel ATX Full Tower Computer Case,No,,,,,,Yes,,,PH-ES813P_WT,6,5,,,,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-V2120B Black Aluminum ATX Full Tower Computer Case,No,,,,,,No,,,PC-V2120B,,5,,,Bottom,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-V2120X All Black Aluminum ATX Full Tower Computer Case,No,,,,,,No,,,PC-V2120X,,5,,,Bottom,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-D8000 Black Aluminum ATX Full Tower Computer Case,No,,,,,,No,,,PC-D8000,,5,,,Bottom,,Full Tower,,,,,,,,
Silverstone,,,,,1,,1,,SilverStone Fortress Series FT02S-USB3.0 Silver Aluminum / Steel Computer Case with 2X USB3.0 ports,No,,,,,,No,,,FT02S-USB3.0,,5,,,Top,,,,,,,,,,
Lian-Li,,,,,,,1,Black/Red,LIAN LI PC-Q36WRX Black/Red Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q36WRX,"HDD bay 3.5"" HDD x2","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Fractal Design,,,1,,,,,,Fractal Design Define Mini Black Micro ATX Silent PC Computer Case w/ USB 3.0 support and 2 x 120mm Fractal Design Silent Fans,No,,,,,,No,1 x USB 3.0 / 1 x USB 2....,,Define Mini,,2 (with one 5.25 > 3.5 inch converter included),,,Bottom,,,,,,,,,,
Fractal Design,,1,,,1,,,,Fractal Design Core 1000 FD-CA-CORE-1000-USB3-BL Black Steel MicroATX Mid Tower Computer Case,No,,,,,,No,1 x USB 3.0 1 x USB 2.0...,,FD-CA-CORE-1000-USB3-BL,,2,,,Top,,,,,,,,,,
Lian-Li,,,,,,,1,,LIAN LI PC-Q36WG Champagne Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q36WG,"HDD bay 3.5"" HDD x2","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Lian-Li,,,1,,,,1,Silver,LIAN LI PC-V358A Silver Aluminum ATX Mini Tower Computer Case,No,,,,,,No,2 x USB 3.0 / Audio Fron...,,PC-V358A,,Slim ODD,,,Bottom,,,,,,,,,,
Lian-Li,,,,,,,1,,LIAN LI PC-V358B Black Aluminum Computer Case,No,,,,,,,2 x USB3.0 / HD Audio Fr...,,PC-V358B,6,Slim ODD,,4,,,,,,,,,,,
Zalman Tech Co. Ltd,,,1,,1,1,,,ZALMAN MS800 Plus Black Steel / Plastic ATX Mid Tower Computer Case Standard ATX / ATX12V Power Supply,,,,,,,Yes,,,MS800 Plus,,6,,Internal Bay 5.25'/3.5'/2.5' x 1,,,,,,,,,,,
Zalman Tech Co. Ltd,,,1,,1,1,,,ZALMAN Z1 Black Steel / Plastic ATX Mid Tower PC case Standard ATX / ATX12V Power Supply,No,,,,,,No,1 x USB 3.0 / 2 x USB 2....,,Z1,4,2,,,,,,,,,,,,,
DIYPC,,1,,,1,,1,black/green,DIYPC Cuboid-G Black/Green Aluminum / Steel MicroATX Mid Tower Computer Case Standard ATX / PS II Power Supply,No,,,,,,Yes,1 x USB 3.0 / 2 x USB 2....,,Cuboid-G,,1,,,Bottom,,,,,,,,,,
Lian-Li,,1,,,,,1,Black/Red,LIAN LI PC-V359WRX Black/Red Aluminum MicroATX Mid Tower Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-V359WRX,"HDD bay 3.5"" HDD x3","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Lian-Li,,1,,,,,1,Silver,LIAN LI PC-V359WG Silver Aluminum MicroATX Mid Tower Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-V359WG,"HDD bay 3.5"" HDD x3","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill LINE ATX Mid Tower Computer Caseone USB 3.0come with Three FansSupport up to 7 Fans,No,,,,,,No,1 x USB 3.0 and 3 x USB ...,,LINE,,2 (3),,,Bottom,,,,,,,,,,
Corsair,,,1,,,,,,Corsair Graphite Series CC-9011063-WW Black ATX Full Tower 780T Full Tower PC Case,No,,,,,,,,USB 3.0 headphone and microphone ports,CC-9011063-WW,,,,,,,Full Tower,"23.70"" x 11.30"" x 25.10""",,,Front fan mounts: 3 x 120 2 x 140 mm Top fan mounts: 3 x 120 2 x 140mm Bottom fan mounts (with HDD cage removed): 2 x 120mm Rear fan mounts: 1 x 140/120mm,,,,
Enermax,,,1,,,,,,ENERMAX ECA3321B-BT (U2) Black ATX Mid Tower Computer Case,,,,,,,,,2 x USB 2.0 / 1 x USB 2.0 / Audio,ECA3321B-BT (U2),3,2,,4,,,,,,,,,,,
Lian-Li,,,,,,,1,,LIAN LI PC-K69 Black Aluminum Computer Case,,,,,,,Yes,,,PC-K69,3.5-inch HDD x3,"5.25"" drive bay (External) x3",,2.5-inch HDD x1,,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill FB-03 - ATX Mid Tower Computer Case - Two (2) Fans Included: 1 x Front 120mm 1 x Rear 80mm (Supports Up to 4),No,,,,,,No,,,FB-03,,3,,,Top,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill GALAXY-03 - Black Gaming ATX Mid Tower Computer Case - Top-Mounted USB 3.0 Port Three Fans Included: 1 x Front Blue LED 120mm 1 x Rear 120mm 1 x Top 120mm,No,,,,,,No,,,Galaxy-03,,3,,,Bottom,,,,,,,,,,
Rosewill,,,1,,,,,,Rosewill GALAXY-02 - Black Gaming ATX Mid Tower Computer Case - Top-Mounted USB 3.0 Port Three Fans Included - 1 x Front Blue LED 120mm 1 x Rear 120mm 1x Top 120mm,No,,,,,,No,,,Galaxy-02,,3,,,Bottom,,,,,,,,,,
Lian-Li,,,,,,,1,Silver,LIAN LI PC-Q36WA Silver Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q36WA,"HDD bay 3.5"" HDD x2","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Lian-Li,,,,,,,1,,LIAN LI PC-Q36WX Black Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q36WX,"HDD bay 3.5"" HDD x2","5.25"" drive bay (External) Slim ODD x1",,"2.5"" HDD x1",,,,,,,,,,,
Rosewill,,,1,,,,,,Rise Glow - Rosewill ATX Full Game Case - E-ATX 2 PSU 7 Fans,No,,,,,,Yes,,,RISE Glow,,2(1),,,Top and Bottom,,,,,,,,,,
Rosewill,,,1,,,,,,Rise ATX Full Tower Game Case - Rosewill - E-ATX 2 PSU 7 Fans,No,,,,,,Yes,,,RISE,,2(1),,,Top and Bottom,,Full Tower,,,,,,,,
