manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
DIYPC,,,1,,,,,Black/Red,DIYPC Solar-M1-R Black/Red SECC ATX Mid Tower USB 3.0 Gaming Computer Case w/ 2 x 120mm Red Fans,,Bottom,,,,,,2 x USB 3.0; 2 x USB 2.0...,2 x USB 3.0 / 2 x USB 2.0 / Audio,Solar-M1-R,,,,,,,,,,,1 x Rear 120mm Red Fan 1 x Front 120mm LED Red Fan,,,,
DIYPC,,,1,,,,,black/green,DIYPC Solar-M1-G Black/Green SECC ATX Mid Tower USB 3.0 Gaming Computer Case w/ 2 x 120mm Green Fans,,Bottom,,,,,,2 x USB 3.0; 2 x USB 2.0...,2 x USB 3.0 / 2 x USB 2.0 / Audio,Solar-M1-G,,,,,,,,,,,1 x Rear 120mm Green Fan 1 x Front 120mm LED Green Fan,,,,
Rosewill,,,1,,,,,,Rosewill VIPER Z ATX Mid Gaming Case 16.6_褲 VGA 5 Fans,No,,,,,,,,2 x USB 3.0 2 x USB 2.0 Audio In/Out Fan Speed Control Panel Card Reader,VIPER Z,,,,,,,,,,,2x Front (Blue LED) (pre-installed) 2x Top (optional) 1x Rear (pre-installed),,,,
be quiet!,,1,1,,,,,Silver,Be quiet! Silent Base 800 Computer Case - Silver,,Bottom,,,,,,,USB 3.0 / Audio,BG003,,,,,,,,,,,5,,,,
be quiet!,,1,1,,,,,,Be quiet! Silent Base 800 Computer Case - Black,,Bottom,,,,,,,USB 3.0 / Audio,BG002,,,,,,,,,,,5,,,,
DIYPC,,,1,,,,,,DIYPC Gamemax-BK Black SPCC ATX Full Tower Computer Case,,Bottom,,,,,,2 x USB 3.0 / 2 x USB 2....,2 x USB 3.0 / 2 x USB 2.0 / Audio,Gamemax-BK,,,,,,,Full Tower,,,,2 x Front 120mm LED Blue Fan (Pre-Installed) 2 x Top 120mm LED Blue Fan (Pre-Installed) 1 x Rear 120mm LED Blue Fan (Pre-Installed),,,,
GIGABYTE,,,1,,1,,,,GIGABYTE GZ-ZHSHWW Black Steel ATX Mid Tower Computer Case,,,,,,,,2 x USB3.0 / 2 x USB 2.0...,2 x USB3.0 / 2 x USB 2.0 / AUDIO,GZ-ZHSHWW,8,1,,,,,,,,,,,,,
Corsair,,,1,,,,,Black/Orange,Corsair Graphite Series 230T CC-9011038-WW Orange on Black with ORANGE LED fans ATX Mid Tower Computer Case,No,,,,,,,,USB 3.0,CC-9011038-WW,,,,,,,,,,,3,,,,
Cooler Master,,1,1,,,,,,Cooler Master Elite 430 - Mid Tower Computer Case with All-Black Interior and Windowed Side Panel,,Bottom,,,,,,,2 x USB 2.0 / Audio,RC-430-KWN1,,,,,,,,,,,1 x 120mm front blue LED...,,,,
DIYPC,,,1,,,,,Black/Orange,DIYPC Zondda-O Black/Orange SPCC ATX Mid Tower Computer Case,,Bottom,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Zondda-O,,,,,,,,,,,1 x Front 120mm LED White Fan (pre-installed) 1 x Rear 120mm White Fan (pre-installed),,,,
NZXT,,1,1,,,,,Black,NZXT - Source 220 Mid-Tower Case,,,,,,,,,,9SIC4C2HM060,,,,,,ATX Mid Tower,,,,,1,,,,
NZXT,,1,1,,,,,Black,NZXT - Source 220 Mid-Tower Case,,,,,,,,,,9154283784,,,,,,ATX Mid Tower,,,,,1,,,,
AeroCool,,,1,,,,,Black,Black Aerocool Xpredator X1 Black Edition ATX Mid-Tower Computer Case,No,,,,,,,,,7116071309,,,,,,,,,,,,,,,
Raidmax,,,1,,,,,,New Raidmax Viper GX ATX-512WBG No Power Supply ATX Mid Tower Case (Black),,,,,7,,Yes,,,9SIC4C2HM064,,,,,,,,240.0 x 539.0 x 507.0 mm,,,,,,,
Raidmax,,,1,,,,,,New Raidmax Viper GX ATX-512WBG No Power Supply ATX Mid Tower Case (Black),,,,,7,,Yes,,,ATX-512WBG,,,,,,,,240.0 x 539.0 x 507.0 mm,,,,,,,
