"id","manufacturer","name","core_name","core_count","manufacturer_tech","frequency","thermal_design_power","release_date","release_price","sSpec","voltage","created_at","updated_at","vram_bit_width","i_gpu","part_number","socket"
114,"Intel","Core i3-2125","Sandy Bridge",2,32,3.3,65,"2011-09-01",134,,,"2015-03-09 23:57:22.877701","2015-03-09 23:57:22.877705",,"HD Graphics 3000","BX80623I32125","1155"
115,"Intel","Core i3-2130","Sandy Bridge",2,32,3.4,65,"2011-09-01",138,,,"2015-03-09 23:57:22.877921","2015-03-09 23:57:22.877929",,"HD Graphics 2000","CM8062301043904","1155"
116,"Intel","Core i3-2120T","Sandy Bridge",2,32,2.6,35,"2011-09-01",127,,,"2015-03-09 23:57:22.87799","2015-03-09 23:57:22.877995",,"HD Graphics 2000","CM8062301046008","1155"
117,"Intel","Core i5-3330","Ivy Bridge ",4,22,3,77,"2012-09-01",182,,,"2015-03-09 23:57:22.878056","2015-03-09 23:57:22.87806",,"HD Graphics 2500","CM8063701134306","1155"
118,"Intel","Core i5-3350P","Ivy Bridge ",4,22,3.1,69,"2012-09-01",177,,,"2015-03-09 23:57:22.878113","2015-03-09 23:57:22.878118",,"N/A","CM8063701392600","1155"
119,"Intel","Core i5-3330S","Ivy Bridge ",4,22,2.7,65,"2012-09-01",177,,,"2015-03-09 23:57:22.878182","2015-03-09 23:57:22.878187",,"HD Graphics 2500","CM8063701159804","1155"
120,"Intel","Core i5-3335S","Ivy Bridge ",4,22,2.7,65,"2012-09-01",194,,,"2015-03-09 23:57:22.878244","2015-03-09 23:57:22.878248",,"HD Graphics 4000","CM8063701277200","1155"
121,"Intel","Core i3-3220","Ivy Bridge ",2,22,3.3,55,"2012-09-01",117,,,"2015-03-09 23:57:22.878308","2015-03-09 23:57:22.878314",,"HD Graphics 2500","CM8063701137502","1155"
122,"Intel","Core i3-3225","Ivy Bridge ",2,22,3.3,55,"2012-09-01",134,,,"2015-03-09 23:57:22.878378","2015-03-09 23:57:22.878383",,"HD Graphics 4000","CM8063701133903","1155"
123,"Intel","Core i3-3240","Ivy Bridge ",2,22,3.4,55,"2012-09-01",138,,,"2015-03-09 23:57:22.87844","2015-03-09 23:57:22.878445",,"HD Graphics 2500","CM8063701137900","1155"
124,"Intel","Core i3-3220T","Ivy Bridge ",2,22,2.8,35,"2012-09-01",117,,,"2015-03-09 23:57:22.878502","2015-03-09 23:57:22.878507",,"HD Graphics 2500","CM8063701099500","1155"
