itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
PNY Technologies Inc.,PNY Optima 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model MD4096KD3-1333 PNY Optima 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model MD4096KD3-1333,,DDR3 1333 (PC3 10666),1333; 10666,9,,Dual Channel Kit,,MD4096KD3-1333,,,Yes,
SUPER TALENT,SUPER TALENT 2GB (2 x 1GB) 184-Pin DDR SDRAM DDR 400 (PC 3200) Dual Channel Kit Desktop Memory Model X32PB2GC SUPER TALENT 2GB (2 x 1GB) 184-Pin DDR SDRAM DDR 400 (PC 3200) Dual Channel Kit Desktop Memory Model X32PB2GC,,DDR 400 (PC 3200),400; 3200,3,,Dual Channel Kit,,X32PB2GC,,,Yes,
All Components Inc.,AllComponents 2GB (2 x 1GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel kit Desktop Memory Model AC2/800X64/2048-kit AllComponents 2GB (2 x 1GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel kit Desktop Memory Model AC2/800X64/2048-kit,,DDR2 800 (PC2 6400),800; 6400,,1.8,Dual Channel Kit,,AC2/800X64/2048-kit,,,No,
HyperX,HyperX Predator Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T2K2/8 HyperX Predator Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T2K2/8,,DDR3 1866,1866,10,,Dual Channel Kit,,KHX18C10T2K2/8,,,,
HyperX,HyperX Predator Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T2K4/16 HyperX Predator Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T2K4/16,,DDR3 1866,1866,10,,Quad Channel Kit,,KHX18C10T2K4/16,,,,
HyperX,HyperX Beast Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T3K2/8 HyperX Beast Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 Desktop Memory Model KHX18C10T3K2/8,,DDR3 1866,1866,10,,Dual Channel Kit,,KHX18C10T3K2/8,,,,
HyperX,HyperX Predator Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 Desktop Memory Model KHX28C12T2K2/8X HyperX Predator Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 Desktop Memory Model KHX28C12T2K2/8X,,DDR3 2800,2800,12,,Dual Channel Kit,,KHX28C12T2K2/8X,,,,
PNY Technologies Inc.,PNY Optima 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Dual Channel Kit Desktop Memory Model MD4096KD2-667 PNY Optima 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Dual Channel Kit Desktop Memory Model MD4096KD2-667,,DDR2 667 (PC2 5300),667; 5300,5,,Dual Channel Kit,,MD4096KD2-667,,,No,
GeIL,GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model GPR432GB2400C15QC GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model GPR432GB2400C15QC,,DDR4 2400 (PC4-19200),2400; 19200,15,,Quad Channel Kit,15; 15; 15; 35,GPR432GB2400C15QC,,,POTENZA Heatsink System,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model GPR416GB2400C15QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model GPR416GB2400C15QC,,DDR4 2400 (PC4-19200),2400; 19200,15,,Quad Channel Kit,15; 15; 15; 35,GPR416GB2400C15QC,,,POTENZA Heatsink System,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model GPR416GB2800C16QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model GPR416GB2800C16QC,,DDR4 2800 (PC4-22400),2800; 22400,15,,Quad Channel Kit,15; 15; 15; 35,GPR416GB2800C16QC,,,POTENZA Heatsink System,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model GPR416GB2666C15QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model GPR416GB2666C15QC,,DDR4 2666 (PC4-21300),2666; 21300,15,,Quad Channel Kit,15; 15; 15; 35,GPR416GB2666C15QC,,,POTENZA Heatsink System,
GeIL,GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model GPR432GB2133C15QC GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model GPR432GB2133C15QC,,DDR4 2133 (PC4-17000),2133; 17000,15,,Quad Channel Kit,15; 15; 15; 36,GPR432GB2133C15QC,,,POTENZA Heatsink System,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model GPR416GB2133C15QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model GPR416GB2133C15QC,,DDR4 2133 (PC4-17000),2133; 17000,15,,Quad Channel Kit,15; 15; 15; 36,GPR416GB2133C15QC,,,POTENZA Heatsink System,
GeIL,GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model GPR432GB2800C16QC GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Desktop Memory Model GPR432GB2800C16QC,,DDR4 2800 (PC4-22400),2800; 22400,16,,Quad Channel Kit,16; 16; 16; 36,GPR432GB2800C16QC,,,POTENZA Heatsink System,
GeIL,GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model GPR432GB2666C15QC GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model GPR432GB2666C15QC,,DDR4 2666 (PC4-21300),2666; 21300,15,,Quad Channel Kit,15; 15; 15; 35,GPR432GB2666C15QC,,,POTENZA Heatsink System,
GeIL,GeIL EVO POTENZA 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model GPB38GB2400C11BDC GeIL EVO POTENZA 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model GPB38GB2400C11BDC,,DDR3 2400 (PC3 19200),2400; 19200,11,,Dual Channel Kit,11; 13; 13; 30,GPB38GB2400C11BDC,,,Yes,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Gaming Memory Model GPR416GB3000C16QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Gaming Memory Model GPR416GB3000C16QC,,DDR4 3000 (PC4-24000),3000; 24000,,1.35,Quad Channel Kit,16; 16; 16; 36,GPR416GB3000C16QC,,,POTENZA Heatsink System,
G.SKILL,G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory Kit Model F4-2666C16Q-16GRB G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory Kit Model F4-2666C16Q-16GRB,,DDR4 2666 (PC4-21300),2666; 21300,,1.2,Quad Channel Kit,16; 16; 16; 36,F4-2666C16Q-16GRB,,No,,
G.SKILL,4GB G.Skill DDR2 PC2-8500 1066MHz TT (PI) Black Series (5-5-5-15) Dual Channel kit 4GB G.Skill DDR2 PC2-8500 1066MHz TT (PI) Black Series (5-5-5-15) Dual Channel kit,,DDR2 1066 (PC2 8500),1066; 8500,,2; -2.1,Dual Channel Kit,5; 5; 5; 15,9SIA4YU2AB2753,,,,
GeIL,GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Gaming Memory Model GPR416GB3200C16QC GeIL 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Gaming Memory Model GPR416GB3200C16QC,,DDR4 3200 (PC4-25600),3200; 25600,,1.35,Quad Channel Kit,16; 16; 16; 36,GPR416GB3200C16QC,,,POTENZA Heatsink System,
GeIL,GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Gaming Memory Model GPR432GB3000C15QC GeIL 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Gaming Memory Model GPR432GB3000C15QC,,DDR4 3000 (PC4-24000),3000; 24000,,1.35,Quad Channel Kit,15; 15; 15; 35,GPR432GB3000C15QC,,,POTENZA Heatsink System,
Lenovo,Lenovo 46c0564 4gb Ddr3 Sdram Memory Module - 4 Gb (1 X 4 Lenovo 46c0564 4gb Ddr3 Sdram Memory Module - 4 Gb (1 X 4,,,,,,,,46C0564,,,,
SUPER TALENT,Ddr2-800 2Gb/128X8 Samsung Chip Memory Ddr2-800 2Gb/128X8 Samsung Chip Memory,,,,,,,,T800UB2GSA,,,,
Crucial,Crucial Ballistix Sport 16GB Kit 8GB x2 DDR3 1333 MHz PC3-10600 CL9 1.5V Memory Crucial Ballistix Sport 16GB Kit 8GB x2 DDR3 1333 MHz PC3-10600 CL9 1.5V Memory,,,,,,,,35205,,,,
Kingston Technology Corp.,Kingston 8gb 1600mhz Ddr3 Ecc Reg Cl11 Dimm Sr X4 W/ts Intel Kingston 8gb 1600mhz Ddr3 Ecc Reg Cl11 Dimm Sr X4 W/ts Intel,,,,,,,,3591490,,,,
ADATA,ADATA 512MB A-Data DDR PC2700 333MHz CL2.5 module (8 chips) Model AD1U333A512M25-S ADATA 512MB A-Data DDR PC2700 333MHz CL2.5 module (8 chips) Model AD1U333A512M25-S,,,,,,,,AD1U333A512M25-S,,,,
Kingston Technology Corp.,Kingston Kvr667D2D4F5/4G Ddr2-667 4Gb Ecc Fb-Dimm Memory Kingston Kvr667D2D4F5/4G Ddr2-667 4Gb Ecc Fb-Dimm Memory,,,,,,,,KVR667D2D4F5/4G,,,,
Corsair,Corsair 2GB DDR3 SDRAM Memory Module Corsair 2GB DDR3 SDRAM Memory Module,DDR3 SDRAM1333 MHz,,,,,,,VS2GB1333D3,,,,
Hewlett-Packard,Hewlett Packard Hp 16gb 2rx4 Pc3-12800r-11 Kit Hewlett Packard Hp 16gb 2rx4 Pc3-12800r-11 Kit,,,,,,,,3305038,,,,
TOPRAM,TOPRAM 1GB 1G DDR 400 400MHz PC3200 DDR400 184 pin Desktop PC Memory DIMM RAM TOPRAM 1GB 1G DDR 400 400MHz PC3200 DDR400 184 pin Desktop PC Memory DIMM RAM,DDR 400 (PC 3200),400; 3200,,,,,,TRD14001GL,,,,
Crucial,Micron Consumer Products Group 2 - 2gb 240-pin Unbuff Dimm 256x72 Ddr2 Pc2-5300 Micron Consumer Products Group 2 - 2gb 240-pin Unbuff Dimm 256x72 Ddr2 Pc2-5300,,,,,,,,3483948,,,,
Apotop,Apotop 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model U3A2Gx1-13C9EB Apotop 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model U3A2Gx1-13C9EB,DDR3 1333 (PC3 10600),1333; 10600,,,,,,U3A2Gx1-13C9EB,,,,
SUPER TALENT,Super Talent Ddr3-1333 2Gb/128X8 Cl9 Memory Super Talent Ddr3-1333 2Gb/128X8 Cl9 Memory,,,,,,,,W1333UB2G9,,,,
ADATA,ADATA 2GB A-Data DDR2-800 (PC2-6400) desktop memory module CL5 Model AD2U800B2G5-S ADATA 2GB A-Data DDR2-800 (PC2-6400) desktop memory module CL5 Model AD2U800B2G5-S,,,,,,,,AD2U800B2G5-S,,,,
SUPER TALENT,Ddr3-1600 8Gb (2X 4Gb) Dual Channel Value Memory Kit Ddr3-1600 8Gb (2X 4Gb) Dual Channel Value Memory Kit,,,,,,,,W1600UX8GV,,,,
Kingston Technology Corp.,Kingston 32gb 1600mhz Ddr3 Ecc Reg Cl11 K4 Intel Kingston 32gb 1600mhz Ddr3 Ecc Reg Cl11 K4 Intel,,,,,,,,3591946,,,,
Crucial,Crucial 4GB Kit 2x 2GB DDR3 1333MHz PC3-10600 Non ECC Desktop Memory RAM 1333 Crucial 4GB Kit 2x 2GB DDR3 1333MHz PC3-10600 Non ECC Desktop Memory RAM 1333,,,,,,,,51,,,,
SUPER TALENT,Super Talent Ddr3-1333 4Gb (2X 2Gb) Value Memory Kit Super Talent Ddr3-1333 4Gb (2X 2Gb) Value Memory Kit,,,,,,,,W1333UX4GV,,,,
Crucial,CRUCIAL Ballistix Sport 8 GB DDR3-1600 - PC3-12800 - CL9 (BLS8G3D1609ES2LX0CEU) PC memory CRUCIAL Ballistix Sport 8 GB DDR3-1600 - PC3-12800 - CL9 (BLS8G3D1609ES2LX0CEU) PC memory,,,,,,,,BLS8G3D1609ES2LX0CEU,,,,
Kingston Technology Corp.,Valueram Kvr16N11H/8 Ddr3-1600 8Gb/1Gx64 Cl11 Memory Valueram Kvr16N11H/8 Ddr3-1600 8Gb/1Gx64 Cl11 Memory,,,,,,,,KVR16N11H/8,,,,
SUPER TALENT,Ddr3-1333 Sodimm 8Gb Samsung Chip Notebook Memory Ddr3-1333 Sodimm 8Gb Samsung Chip Notebook Memory,,,,,,,,W1333SB8GS,,,,
Kingston Technology Corp.,Kingston 8gb 1600mhz Ddr3l Ecc Reg Cl11 Dimm Dr X8 1.35v W/ts Kingston 8gb 1600mhz Ddr3l Ecc Reg Cl11 Dimm Dr X8 1.35v W/ts,,,,,,,,3537611,,,,
Crucial,Crucial Ballistix Sport VLP 16GB Kit 2x 8GB DDR3 Memory 1600 MHz 1.35V PC3-12800 Crucial Ballistix Sport VLP 16GB Kit 2x 8GB DDR3 Memory 1600 MHz 1.35V PC3-12800,,,,,,,,31323,,,,
SUPER TALENT,Super Talent DDR3-1600 8GB/512Mx8 ECC/REG CL11 Samsung Chip Server Memory Super Talent DDR3-1600 8GB/512Mx8 ECC/REG CL11 Samsung Chip Server Memory,,,,,,,,W16RB8G8S,,,,
Lenovo,Lenovo 8GB DDR3 SDRAM Memory Module Lenovo 8GB DDR3 SDRAM Memory Module,,,,,,,,0A65730,,,,
ADATA,ADATA 128MB V-Data PC100 SDRAM memory module (4 chips 168 pins) Model MSGVD2E4F2160B1A0 ADATA 128MB V-Data PC100 SDRAM memory module (4 chips 168 pins) Model MSGVD2E4F2160B1A0,,,,,,,,MSGVD2E4F2160B1A0,,,,
SUPER TALENT,D400 256M/32X8 Ecc/Reg Samsung Chip Memory D400 256M/32X8 Ecc/Reg Samsung Chip Memory,,,,,,,,D256EC400R,,,,
Apotop,Apotop 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model U3A8Gx1-13C9EB Apotop 8GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model U3A8Gx1-13C9EB,DDR3 1333 (PC3 10600),1333; 10600,,,,,,U3A8Gx1-13C9EB,,,,
Kingston Technology Corp.,Kvr800D2N6/1G Ddr2-800 1Gb Cl6 Memory Kvr800D2N6/1G Ddr2-800 1Gb Cl6 Memory,,,,,,,,KVR800D2N6/1G,,,,
Kingston Technology Corp.,Kingston 8gb 1333mhz Ddr3 Ecc Reg Cl9 Dimm Dr X8 W/ts Kingston 8gb 1333mhz Ddr3 Ecc Reg Cl9 Dimm Dr X8 W/ts,,,,,,,,3537610,,,,
VisionTek,Visiontek 900384 2gb ddr3 pc3-10600 cl9 1333 lp Visiontek 900384 2gb ddr3 pc3-10600 cl9 1333 lp,,,,,,,,900384,,,,
ADATA,ADATA 2GB DDR PC3200 400MHz CL3 Dual Channel kit (2x1GB) Model AD1U400A1G3-2 ADATA 2GB DDR PC3200 400MHz CL3 Dual Channel kit (2x1GB) Model AD1U400A1G3-2,,,,,,,,AD1U400A1G3-2,,,,
Kingston Technology Corp.,Kingston 8gb 1600mhz Ecc (kit Of 2) Kingston 8gb 1600mhz Ecc (kit Of 2),,,,,,,,3424476,,,,
Kingston Technology Corp.,Kvr667D2N5/1G Ddr2-667 1G/128X64 Memory Kvr667D2N5/1G Ddr2-667 1G/128X64 Memory,,,,,,,,KVR667D2N5/1G,,,,
Kingston Technology Corp.,Kingston 1 GB 400MHz PC3200 DDR 184- PIN DIMM Desktop Memory (KVR400X64C3A/1G) Kingston 1 GB 400MHz PC3200 DDR 184- PIN DIMM Desktop Memory (KVR400X64C3A/1G),DDR 400 (PC 3200),400; 3200,,,,,,DM9708513,,,,
Kingston Technology Corp.,Kingston Valueram Kvr16N11K2/16 Ddr3-1600 16Gb(2X 8Gb)/1Gx64 Cl11 Memory Kit Kingston Valueram Kvr16N11K2/16 Ddr3-1600 16Gb(2X 8Gb)/1Gx64 Cl11 Memory Kit,,,,,,,,KVR16N11K2/16,,,,
Qnap,Qnap 8gb Ddr3 Ram Module - 8 Gb - Ddr3 Sdram - 1600 Mhz - Qnap 8gb Ddr3 Ram Module - 8 Gb - Ddr3 Sdram - 1600 Mhz -,,,,,,,,RAM-8GDR3-LD-1600,,,,
Kingston Technology Corp.,Kingston 4gb 1333mhz Module Single Rank Kingston 4gb 1333mhz Module Single Rank,,,,,,,,3455637,,,,
Kingston Technology Corp.,Kvr16N11S8H/4 Ddr3-1600 4Gb/512Mx64 Cl11 Memory Kvr16N11S8H/4 Ddr3-1600 4Gb/512Mx64 Cl11 Memory,,,,,,,,KVR16N11S8H/4,,,,
ADATA,ADATA 1GB AData DDR2 PC2-5400 667Mhz CL5 desktop memory module Model AD2667001GOU ADATA 1GB AData DDR2 PC2-5400 667Mhz CL5 desktop memory module Model AD2667001GOU,,,,,,,,AD2667001GOU,,,,
ADATA,ADATA 2GB A-Data DDR PC3200 400MHz CL3 Dual Channel kit (2x1GB) Model AD1U400A1G3-2 ADATA 2GB A-Data DDR PC3200 400MHz CL3 Dual Channel kit (2x1GB) Model AD1U400A1G3-2,,,,,,,,2GB A-Data DDR PC320,,,,
Lenovo,8GB DDR3L-1600MHZ (2RX8) RDIMM 8GB DDR3L-1600MHZ (2RX8) RDIMM,,,,,,,,0C19534,,,,
Hewlett-Packard,Hp 8gb (1x8gb) Ddr3-1866 Ecc Reg Ram - 8 Gb (1 X 8 Gb) - Hp 8gb (1x8gb) Ddr3-1866 Ecc Reg Ram - 8 Gb (1 X 8 Gb) -,,,,,,,,E2Q94AA,,,,
Kingston Technology Corp.,Kingston 4gb 1333mhz Sodimm Single Rank Kingston 4gb 1333mhz Sodimm Single Rank,,,,,,,,3455648,,,,
Crucial,Crucial 4GB Kit 2x 2GB DDR3 1333MHz PC3-10600 Non ECC Desktop Memory RAM 1333 Crucial 4GB Kit 2x 2GB DDR3 1333MHz PC3-10600 Non ECC Desktop Memory RAM 1333,DDR3-1333,1333,,,,,,5051,,,,
Hewlett-Packard,Hp 16gb (1x16gb) Dual Rank X4 Ddr4-2133 Cas-15-15-15 Hp 16gb (1x16gb) Dual Rank X4 Ddr4-2133 Cas-15-15-15,,,,,,,,726719-B21,,,,
Kingston Technology Corp.,Kingston Hyperx Impact Sodimm - 16gb Kit* (2x8gb) - Ddr3l Kingston Hyperx Impact Sodimm - 16gb Kit* (2x8gb) - Ddr3l,,,,,,,,HX318LS10IBK2/16,,,,
Kingston Technology Corp.,Kingston 48gb 1333mhz Reg Ecc Quad Rank X8 Low Voltage Kit Kingston 48gb 1333mhz Reg Ecc Quad Rank X8 Low Voltage Kit,,,,,,,,3420632,,,,
SUPER TALENT,Super Talent Ddr3-1333 8Gb/512Mx8 Micron Chip Memory Super Talent Ddr3-1333 8Gb/512Mx8 Micron Chip Memory,,,,,,,,W1333UB8GM,,,,
SUPER TALENT,Super Talent Ddr3-1333 8Gb/512Mx8 Value Memory Super Talent Ddr3-1333 8Gb/512Mx8 Value Memory,,,,,,,,W1333UB8GV,,,,
Cisco Systems Inc.,Cisco 512mb Dram Memory Module - 512 Mb - Dram Cisco 512mb Dram Memory Module - 512 Mb - Dram,,,,,,,,MEM8XX-512U768D=,,,,
SUPER TALENT,Super Talent Ddr3-1600 4Gb/512Mx8 Cl11 Micron Chip Memory Super Talent Ddr3-1600 4Gb/512Mx8 Cl11 Micron Chip Memory,,,,,,,,W1600UA4GM,,,,
Kingston Technology Corp.,Valueram Kvr13N9S8K2/8 Ddr3-1333 8Gb(2X 4Gb)/512Mx64 Cl9 Memory Kit Valueram Kvr13N9S8K2/8 Ddr3-1333 8Gb(2X 4Gb)/512Mx64 Cl9 Memory Kit,,,,,,,,KVR13N9S8K2/8,,,,
Kingston Technology Corp.,Kingston 4gb 1333mhz Sodimm Single Rank Kingston 4gb 1333mhz Sodimm Single Rank,,,,,,,,3455649,,,,
ADATA,ADATA 2GB A-Data DDR2 PC2-5400 667MHz CL5 desktop memory module Model AD2U667B2G5-S ADATA 2GB A-Data DDR2 PC2-5400 667MHz CL5 desktop memory module Model AD2U667B2G5-S,,,,,,,,AD2U667B2G5-S,,,,
SUPER TALENT,Super Talent DDR3-1333 SODIMM 4GB/512Mx64 CL9 Micron Chip Notebook Memory Super Talent DDR3-1333 SODIMM 4GB/512Mx64 CL9 Micron Chip Notebook Memory,,,,,,,,W1333SA4GM,,,,
Kingston Technology Corp.,Kingston ValueRAM KVR16R11D8/8 DDR3-1600 8GB/1Gx72 ECC/REG CL11 Server Memory Kingston ValueRAM KVR16R11D8/8 DDR3-1600 8GB/1Gx72 ECC/REG CL11 Server Memory,,,,,,,,KVR16R11D8/8,,,,
Kingston Technology Corp.,Kingston ValueRAM KVR13S9S6-2 DDR3-1333 SODIMM 2GB-256Mx64 CL9 Notebook Memory Kingston ValueRAM KVR13S9S6-2 DDR3-1333 SODIMM 2GB-256Mx64 CL9 Notebook Memory,,,,,,,,KVR13S9S6/2,,,,
Kingston Technology Corp.,Kingston 8gb 1600mhz Reg Ecc Low Voltage Module Kingston 8gb 1600mhz Reg Ecc Low Voltage Module,,,,,,,,3609435,,,,
SUPER TALENT,Ddr3-1333 4Gb/512Mx8 Hynix Chip Memory Ddr3-1333 4Gb/512Mx8 Hynix Chip Memory,,,,,,,,W1333UA4GH,,,,
Hewlett-Packard,Hp 32gb (1x32gb) Quad Rank X4 Ddr4-2133 Cas-15-15-15 Load Hp 32gb (1x32gb) Quad Rank X4 Ddr4-2133 Cas-15-15-15 Load,,,,,,,,726722-B21,,,,
Kingston Technology Corp.,Kingston Hyperx Fury Memory Blue - 16gb Kit (2x8gb) - Ddr3 Kingston Hyperx Fury Memory Blue - 16gb Kit (2x8gb) - Ddr3,,,,,,,,HX318C10FK2/16Dup,,,,
Crucial,Ballistix Sport 4GB DDR3 1333MHz PC3-10600 1.5V BLS4G3D1339DS1S00 1333 Ballistix Sport 4GB DDR3 1333MHz PC3-10600 1.5V BLS4G3D1339DS1S00 1333,DDR3 1333 (PC3 10600),1333; 10600,,,,,,DM68808724,,,,
Kingston Technology Corp.,Kingston Kvr667D2S5/1G Ddr2-667 1G/128X64 Sodimm Notebook Memory Kingston Kvr667D2S5/1G Ddr2-667 1G/128X64 Sodimm Notebook Memory,,,,,,,,KVR667D2S5/1G,,,,
Kingston Technology Corp.,Kingston ValueRAM KVR16LE11L/8 DDR3L-1600 8GB/1Gx72 ECC CL11 Very Low Profile Server Memory Kingston ValueRAM KVR16LE11L/8 DDR3L-1600 8GB/1Gx72 ECC CL11 Very Low Profile Server Memory,,,,,,,,KVR16LE11L/8,,,,
Crucial,Crucial 4GB Kit 2x 2GB DDR3 1600MHz PC3-12800 Non ECC Desktop Memory RAM 1600 Crucial 4GB Kit 2x 2GB DDR3 1600MHz PC3-12800 Non ECC Desktop Memory RAM 1600,DDR3 1600 (PC3 12800),1600; 12800,,,,,,DM236614,,,,
SUPER TALENT,Super Talent Ddr2-800 1Gb/128X8 Cl5 Memory Super Talent Ddr2-800 1Gb/128X8 Cl5 Memory,,,,,,,,T800UA1GC5,,,,
Kingston Technology Corp.,Kvr667D2S5/2G Ddr2-667 2G/256X64 Sodimm Notebook Memory Kvr667D2S5/2G Ddr2-667 2G/256X64 Sodimm Notebook Memory,,,,,,,,KVR667D2S5/2G,,,,
EP Memory,Open Box: ACP-EP Memory 1GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model 5188-6049-AA Open Box: ACP-EP Memory 1GB 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model 5188-6049-AA,DDR2 800 (PC2 6400),800; 6400,,,,,,5188-6049-AA,,,,
Kingston Technology Corp.,Hyperx Khx1600C10D3B1K2/16G Ddr3-1600 16Gb 1Gx64 (2X8Gb) Cl10 Memory Kit Hyperx Khx1600C10D3B1K2/16G Ddr3-1600 16Gb 1Gx64 (2X8Gb) Cl10 Memory Kit,,,,,,,,KHX1600C10D3B1K2/16G,,,,
PNY Technologies Inc.,PNY 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model MD2048SD3-1333 PNY 2GB 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model MD2048SD3-1333,DDR3 1333 (PC3 10666),1333; 10666,,,,,,MD2048SD3-1333,,,,
Qnap,QNAP SP-2GB-DDR3-LD 2GB DDR3 SDRAM Memory Module QNAP SP-2GB-DDR3-LD 2GB DDR3 SDRAM Memory Module,,,,,,,,SP-2GB-DDR3-LD,,,,
Kingston Technology Corp.,Hyperx Khx1333C9D3B1K2/4G Ddr3-1333 4Gb(2X2Gb) Cl9 Memory Kit Hyperx Khx1333C9D3B1K2/4G Ddr3-1333 4Gb(2X2Gb) Cl9 Memory Kit,,,,,,,,KHX1333C9D3B1K2/4G,,,,
Kingston Technology Corp.,Hyperx Blu Khx1600C9D3B1K2/8Gx Ddr3-1600 8Gb(2X4Gb) Cl9 Memory Kit Hyperx Blu Khx1600C9D3B1K2/8Gx Ddr3-1600 8Gb(2X4Gb) Cl9 Memory Kit,,,,,,,,KHX1600C9D3B1K2/8GX,,,,
Kingston Technology Corp.,Kingston Khx1600C9S3P1K2/8G Ddr3-1600 8Gb(2X4Gb) Cl9 Sodimm Notebook Memory Kit Kingston Khx1600C9S3P1K2/8G Ddr3-1600 8Gb(2X4Gb) Cl9 Sodimm Notebook Memory Kit,,,,,,,,KHX1600C9S3P1K2/8G,,,,
Kingston Technology Corp.,Kvr1600D3D8R11S/4G Ddr3-1600 4Gb 512Mx72 Ecc/Reg Cl11 Server Memory Kvr1600D3D8R11S/4G Ddr3-1600 4Gb 512Mx72 Ecc/Reg Cl11 Server Memory,,,,,,,,KVR1600D3D8R11S/4G,,,,
Kingston Technology Corp.,Kvr1066D3S8N7/2G Ddr3-1066 2Gb/256Mx64 Cl7 Memory Kvr1066D3S8N7/2G Ddr3-1066 2Gb/256Mx64 Cl7 Memory,,,,,,,,KVR1066D3S8N7/2G,,,,
