itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
G.SKILL,G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Intel X99 Platform Extreme Performance Memory Kit Model F4-3200C15Q-16GRKD G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Intel X99 Platform Extreme Performance Memory Kit Model F4-3200C15Q-16GRKD,G.SKILL Ripjaws 4 series 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Intel X99 Platform Extreme Performance Memory Kit Model F4-3200C15Q-16GRKD,DDR4 3200 (PC4-25600),3200; 25600,15,1.35V,Quad Channel Kit,15-15-15-35,F4-3200C15Q-16GRKD,,,,
HyperX,HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T2K2/8 HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T2K2/8,HyperX Predator 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T2K2/8,DDR3 2400,2400,11,1.65V,Dual Channel Kit,11/13/14,HX324C11T2K2/8,,,,
G.SKILL,G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C8Q-16GAB G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C8Q-16GAB,G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C8Q-16GAB,DDR3 1600 (PC3 12800),1600; 12800,8,1.5V,Quad Channel Kit,8/8/08,F3-1600C8Q-16GAB,,,,
Crucial,Crucial Ballistix Sport 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model BLS4KIT8G3D1609DS1S00 Crucial Ballistix Sport 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model BLS4KIT8G3D1609DS1S00,Crucial Ballistix Sport 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model BLS4KIT8G3D1609DS1S00,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9-9-9-24,BLS4KIT8G3D1609DS1S00,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model 994127R Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model 994127R,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model 994127R,DDR3 2666 (PC3 21300),2666; 21300,12,1.65V,Quad Channel Kit,12-13-13-35,994127R,,,,
G.SKILL,G.SKILL Ripjaws 4 series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory KitModel F4-2400C15D-16GRR G.SKILL Ripjaws 4 series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory KitModel F4-2400C15D-16GRR,G.SKILL Ripjaws 4 series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory KitModel F4-2400C15D-16GRR,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,Dual Channel Kit,15-15-15-35,F4-2400C15D-16GRR,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994050F Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994050F,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 994050F,DDR3 1600 (PC3 12800),1600; 12800,9,1.6V,Quad Channel Kit,9-9-9-24,994050F,,,,
Team Group,Team Elite Plus 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TPD316G1600C11DC01 Team Elite Plus 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TPD316G1600C11DC01,Team Elite Plus 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TPD316G1600C11DC01,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,Dual Channel Kit,11-11-11-28,TPD316G1600C11DC01,,,,
Corsair,CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY8GX3M2A2133C8R CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY8GX3M2A2133C8R,CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMY8GX3M2A2133C8R,DDR3 2133 (PC3 17000),2133; 17000,8,1.65V,Dual Channel Kit,8-10-10-27,CMY8GX3M2A2133C8R,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Desktop Memory Model 997069F Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Desktop Memory Model 997069F,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Desktop Memory Model 997069F,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,997069F,,,,
Mushkin Enhanced,Mushkin Enhanced Radioactive 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069Y Mushkin Enhanced Radioactive 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069Y,Mushkin Enhanced Radioactive 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069Y,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,997069Y,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Memory Model 994202F Mushkin Enhanced Redline 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Memory Model 994202F,Mushkin Enhanced Redline 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4-25600) Memory Model 994202F,DDR4 3200 (PC4-25600),3200; 25600,16,1.35V,Quad Channel Kit,16-16-16-36,994202F,,,,
Corsair,CORSAIR Vengeance LP 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 Desktop Memory Model CML16GX3M4X1600C8 CORSAIR Vengeance LP 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 Desktop Memory Model CML16GX3M4X1600C8,CORSAIR Vengeance LP 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 Desktop Memory Model CML16GX3M4X1600C8,DDR3 1600,1600,8,1.5V,Quad Channel Kit,8-8-8-24,CML16GX3M4X1600C8,,,,
